animal_name,habitat,diet
Canada goose,savanna,herbivore
American woodcock,tundra,carnivore
"Duiker, gray",ocean,omnivore
"Cat, civet",forest,herbivore
"Dove, little brown",savanna,herbivore
"Kangaroo, brush-tailed rat",tundra,omnivore
Yellow-throated sandgrouse,tundra,carnivore
Hottentot teal,savanna,herbivore
Red howler monkey,desert,herbivore
"Lourie, grey",savanna,omnivore
"Bustard, kori",tundra,carnivore
Sea birds (unidentified),tundra,omnivore
Kirk's dik dik,ocean,herbivore
"Iguana, land",tundra,herbivore
White-winged tern,desert,carnivore
Field flicker,savanna,carnivore
Stone sheep,forest,omnivore
Eagle owl (unidentified),ocean,herbivore
"Otter, african clawless",ocean,omnivore
Eastern indigo snake,ocean,herbivore
Burmese brown mountain tortoise,forest,omnivore
"Tortoise, desert",desert,omnivore
"Deer, black-tailed",ocean,omnivore
"Gazer, sun",forest,omnivore
Platypus,tundra,omnivore
Swallow-tail gull,desert,carnivore
"Gull, silver",desert,herbivore
"Ibis, sacred",desert,carnivore
Woolly-necked stork,ocean,carnivore
"Wombat, common",ocean,omnivore
"Tarantula, salmon pink bird eater",ocean,omnivore
"Bat, little brown",savanna,omnivore
"Nighthawk, common",forest,omnivore
"Bear, black",desert,omnivore
Marine iguana,ocean,herbivore
"Rattlesnake, eastern diamondback",ocean,carnivore
Long-finned pilot whale,desert,herbivore
Horned lark,savanna,omnivore
"Bustard, denham's",desert,herbivore
"Eagle, white-bellied sea",ocean,omnivore
"Dragon, ornate rock",savanna,omnivore
Netted rock dragon,forest,carnivore
"Nuthatch, red-breasted",tundra,herbivore
"Grenadier, common",tundra,omnivore
"Seal, southern elephant",forest,carnivore
Hoary marmot,desert,carnivore
"Shelduck, european",ocean,carnivore
"Armadillo, common long-nosed",forest,herbivore
Black-fronted bulbul,savanna,carnivore
"Cormorant, large",ocean,omnivore
"Hartebeest, coke's",forest,omnivore
African red-eyed bulbul,desert,herbivore
"Whale, long-finned pilot",ocean,carnivore
Black-cheeked waxbill,forest,omnivore
Bald eagle,tundra,carnivore
"Vulture, bengal",savanna,omnivore
Australian masked owl,ocean,herbivore
Crown of thorns starfish,savanna,omnivore
Grey heron,ocean,omnivore
"Wallaby, tammar",savanna,omnivore
Eastern quoll,savanna,carnivore
Southern right whale,ocean,carnivore
"Weaver, white-browed sparrow",forest,omnivore
"Seal, common",desert,carnivore
Waved albatross,ocean,omnivore
Blue wildebeest,tundra,carnivore
Southern lapwing,forest,herbivore
"Alligator, mississippi",tundra,omnivore
Small-toothed palm civet,ocean,carnivore
Long-crested hawk eagle,tundra,herbivore
"Leopard, indian",ocean,omnivore
Killer whale,tundra,carnivore
Rhesus monkey,ocean,omnivore
Lesser mouse lemur,ocean,omnivore
Urial,ocean,omnivore
"Barbet, levaillant's",savanna,herbivore
"Sloth, two-toed tree",tundra,herbivore
Weeper capuchin,desert,carnivore
Southern boubou,forest,carnivore
Bald eagle,ocean,herbivore
"Penguin, fairy",desert,herbivore
"Sloth, two-toed",forest,carnivore
Feral rock pigeon,desert,omnivore
"Glider, sugar",savanna,carnivore
Brazilian tapir,desert,carnivore
"Boubou, southern",desert,omnivore
Euro wallaby,forest,carnivore
"Crane, brolga",tundra,carnivore
"Sheathbill, snowy",tundra,omnivore
Lesser double-collared sunbird,ocean,omnivore
"Armadillo, giant",tundra,carnivore
White-throated kingfisher,ocean,carnivore
Little blue penguin,tundra,carnivore
Asian foreset tortoise,savanna,herbivore
Western grey kangaroo,savanna,carnivore
"Shelduck, common",desert,herbivore
"Lemming, collared",tundra,herbivore
Civet (unidentified),forest,herbivore
"Bear, american black",forest,herbivore
"Otter, north american river",ocean,carnivore
"Gull, dusky",savanna,herbivore
"Possum, pygmy",savanna,carnivore
Black-backed magpie,tundra,omnivore
Common langur,ocean,carnivore
"Snake, western patch-nosed",forest,carnivore
"Kangaroo, black-faced",tundra,carnivore
"Wallaby, bennett's",tundra,herbivore
Radiated tortoise,tundra,herbivore
Barasingha deer,forest,carnivore
"Phalarope, red-necked",savanna,carnivore
Gila monster,tundra,herbivore
"Beaver, eurasian",forest,carnivore
"Hornbill, yellow-billed",forest,herbivore
Black-fronted bulbul,savanna,omnivore
Desert spiny lizard,tundra,omnivore
"Roller, lilac-breasted",forest,carnivore
"Cat, toddy",ocean,herbivore
"Trumpeter, green-winged",tundra,herbivore
African snake (unidentified),savanna,carnivore
Barasingha deer,forest,carnivore
Red-capped cardinal,savanna,carnivore
"Goldeneye, common",desert,herbivore
"Bird, bare-faced go away",savanna,omnivore
King cormorant,tundra,carnivore
Crimson-breasted shrike,tundra,carnivore
"Hyena, brown",savanna,carnivore
"Bear, sloth",tundra,herbivore
"Elephant, african",savanna,omnivore
"Lion, asian",desert,carnivore
"Cow, scottish highland",desert,carnivore
"Magpie, black-backed",desert,herbivore
"Genet, common",ocean,omnivore
"Owl, white-browed",forest,carnivore
Common waterbuck,forest,omnivore
Stanley crane,ocean,omnivore
Koala,desert,herbivore
African clawless otter,tundra,omnivore
American badger,ocean,omnivore
Indian tree pie,desert,herbivore
"Magpie, australian",desert,carnivore
"Waterbuck, common",tundra,carnivore
"Pademelon, red-legged",savanna,carnivore
"Heron, giant",tundra,omnivore
"Lion, southern sea",ocean,herbivore
Praying mantis (unidentified),ocean,carnivore
"Plover, blacksmith",forest,carnivore
"Boa, malagasy ground",tundra,omnivore
Cape raven,desert,omnivore
Asian false vampire bat,desert,carnivore
"Monkey, rhesus",forest,carnivore
Jaguarundi,tundra,herbivore
"Squirrel, palm",savanna,carnivore
Eastern fox squirrel,forest,omnivore
Genoveva,ocean,carnivore
Four-striped grass mouse,desert,herbivore
White-winged tern,ocean,herbivore
Long-tailed jaeger,desert,herbivore
"Cow, scottish highland",tundra,carnivore
African fish eagle,ocean,carnivore
"Plover, three-banded",desert,herbivore
"Lion, steller's sea",desert,herbivore
Three-banded plover,forest,herbivore
Great white pelican,desert,herbivore
Snow goose,forest,herbivore
Small-clawed otter,tundra,herbivore
"Partridge, coqui",desert,herbivore
"Iguana, common green",tundra,herbivore
"Rhinoceros, square-lipped",tundra,omnivore
Baleen whale,ocean,omnivore
Indian leopard,desert,omnivore
"Cat, cape wild",forest,omnivore
Black-faced kangaroo,ocean,herbivore
"Boa, cook's tree",savanna,herbivore
"Pintail, white-cheeked",ocean,carnivore
Chacma baboon,tundra,herbivore
Hippopotamus,forest,carnivore
Eastern boa constrictor,desert,carnivore
Nine-banded armadillo,tundra,carnivore
"Peccary, white-lipped",savanna,carnivore
Eleven-banded armadillo (unidentified),desert,herbivore
"Creeper, black-tailed tree",ocean,carnivore
"Eagle, bateleur",ocean,herbivore
American bighorn sheep,forest,omnivore
"Wagtail, african pied",forest,carnivore
Wolf spider,tundra,herbivore
Ring-tailed lemur,tundra,carnivore
Prehensile-tailed porcupine,tundra,omnivore
"Jackal, black-backed",ocean,herbivore
"Cockatoo, red-tailed",desert,herbivore
"Lion, california sea",savanna,herbivore
Yellow mongoose,desert,herbivore
Asian water dragon,forest,omnivore
Bontebok,ocean,omnivore
Indian leopard,desert,carnivore
Galapagos sea lion,ocean,omnivore
"Flamingo, chilean",ocean,omnivore
Blue-breasted cordon bleu,tundra,carnivore
"Tern, white-winged",tundra,omnivore
Small-clawed otter,savanna,herbivore
"Stork, black-necked",savanna,carnivore
"Pelican, eastern white",tundra,carnivore
"Crane, sandhill",desert,herbivore
"Heron, black-crowned night",savanna,herbivore
"Eagle, golden",forest,carnivore
"Roadrunner, greater",ocean,carnivore
Turkey vulture,desert,omnivore
Asian red fox,desert,carnivore
Knob-nosed goose,savanna,carnivore
Prehensile-tailed porcupine,tundra,omnivore
"Bulbul, black-fronted",forest,omnivore
"Antelope, sable",savanna,herbivore
"Wallaby, bennett's",savanna,herbivore
"Cormorant, pied",ocean,omnivore
"Cobra, cape",desert,omnivore
"Lizard, goanna",forest,carnivore
"Corella, long-billed",ocean,herbivore
Malagasy ground boa,savanna,herbivore
"Ass, asiatic wild",desert,carnivore
Madagascar fruit bat,tundra,carnivore
Western bearded dragon,ocean,carnivore
Aardwolf,desert,carnivore
"Raven, white-necked",savanna,carnivore
Toddy cat,forest,herbivore
"Lemur, sportive",forest,herbivore
"Snake, racer",desert,carnivore
"Skua, great",tundra,omnivore
"Badger, eurasian",savanna,herbivore
African porcupine,tundra,herbivore
African lion,forest,omnivore
"Leopard, indian",savanna,carnivore
Common waterbuck,tundra,herbivore
"Zorro, common",savanna,carnivore
Western patch-nosed snake,forest,carnivore
Asiatic jackal,desert,carnivore
Lesser masked weaver,tundra,omnivore
Blue peacock,desert,carnivore
"Squirrel, pine",forest,herbivore
"Crane, black-crowned",desert,omnivore
Serval,tundra,omnivore
"Zorro, azara's",savanna,herbivore
"Pelican, eastern white",ocean,carnivore
"Badger, honey",savanna,carnivore
Golden eagle,desert,herbivore
White-browed sparrow weaver,forest,carnivore
Northern elephant seal,desert,herbivore
"Cormorant, neotropic",tundra,omnivore
Green vine snake,savanna,carnivore
"Lemur, sportive",desert,omnivore
Blue crane,forest,herbivore
"Marmot, hoary",desert,omnivore
"Screamer, southern",desert,omnivore
"Skunk, striped",forest,omnivore
"Wolf, timber",tundra,carnivore
"Loris, slender",ocean,herbivore
Black-tailed deer,savanna,herbivore
"Sloth, two-toed",desert,herbivore
Horned puffin,desert,omnivore
African porcupine,tundra,omnivore
"Dove, laughing",tundra,omnivore
White-nosed coatimundi,desert,carnivore
Australian masked owl,forest,carnivore
"Spurfowl, yellow-necked",tundra,omnivore
"Fox, asian red",savanna,omnivore
"Iguana, land",ocean,herbivore
"Capuchin, white-fronted",savanna,omnivore
"Boa, malagasy ground",desert,herbivore
Hawk-headed parrot,tundra,omnivore
Cape wild cat,ocean,herbivore
Egyptian viper,ocean,carnivore
Little grebe,tundra,herbivore
"Goose, egyptian",savanna,herbivore
Vicuna,tundra,herbivore
Magellanic penguin,savanna,omnivore
Burmese black mountain tortoise,tundra,carnivore
"Crane, blue",savanna,herbivore
"Booby, blue-footed",tundra,herbivore
"Eagle, bateleur",desert,omnivore
Arctic ground squirrel,forest,carnivore
Pied avocet,ocean,herbivore
Spotted wood sandpiper,tundra,herbivore
"Mynah, indian",desert,carnivore
Grey-footed squirrel,desert,omnivore
"Mongoose, eastern dwarf",ocean,herbivore
"Crane, blue",desert,carnivore
Pine siskin,savanna,omnivore
Common langur,savanna,omnivore
"Crow, american",savanna,herbivore
Alpaca,desert,herbivore
"Mongoose, eastern dwarf",savanna,omnivore
"Badger, eurasian",savanna,omnivore
Rose-ringed parakeet,desert,omnivore
"Goldeneye, common",tundra,omnivore
"Duck, mountain",desert,herbivore
Prairie falcon,ocean,herbivore
Greater flamingo,savanna,herbivore
Tawny eagle,forest,omnivore
"Wallaby, agile",desert,omnivore
Common nighthawk,tundra,carnivore
Groundhog,desert,herbivore
"Antelope, roan",tundra,omnivore
"Vulture, egyptian",savanna,omnivore
Greater blue-eared starling,forest,omnivore
"Hawk, ferruginous",savanna,herbivore
Hudsonian godwit,savanna,omnivore
Malleefowl,tundra,herbivore
Ocelot,tundra,herbivore
"Rattlesnake, horned",ocean,carnivore
"Bandicoot, southern brown",savanna,herbivore
"Weaver, chestnut",tundra,omnivore
Yellow-necked spurfowl,tundra,omnivore
Currasow (unidentified),ocean,herbivore
"Dolphin, common",forest,omnivore
"Goose, snow",tundra,omnivore
"Flamingo, roseat",tundra,carnivore
"Jackrabbit, white-tailed",savanna,herbivore
"Wambenger, red-tailed",desert,herbivore
Netted rock dragon,forest,carnivore
Red-breasted nuthatch,ocean,herbivore
"Snake, eastern indigo",savanna,carnivore
Numbat,forest,herbivore
Greylag goose,tundra,omnivore
California sea lion,desert,carnivore
Little brown dove,tundra,carnivore
"Coatimundi, white-nosed",desert,herbivore
Great white pelican,ocean,carnivore
Horned rattlesnake,tundra,carnivore
"Cormorant, javanese",desert,omnivore
"Barbet, crested",savanna,herbivore
Black-tailed deer,forest,carnivore
"Ox, musk",ocean,omnivore
Grison,ocean,carnivore
"Skimmer, four-spotted",forest,herbivore
"Seal, northern elephant",ocean,carnivore
"Salmon, sockeye",tundra,carnivore
Tawny eagle,ocean,omnivore
Vervet monkey,forest,omnivore
"Phalarope, grey",ocean,carnivore
Yellow mongoose,tundra,omnivore
Arctic fox,forest,herbivore
"Tenrec, tailless",savanna,omnivore
Southern right whale,ocean,carnivore
"Porcupine, tree",tundra,omnivore
"Pheasant, ring-necked",savanna,herbivore
Old world fruit bat (unidentified),ocean,herbivore
"Otter, african clawless",savanna,herbivore
Sarus crane,tundra,herbivore
Sambar,forest,omnivore
African bush squirrel,desert,omnivore
Pale-throated three-toed sloth,tundra,herbivore
"Trotter, lily",savanna,carnivore
"Crane, wattled",desert,carnivore
"Cat, long-tailed spotted",forest,herbivore
Emu,ocean,carnivore
Impala,ocean,omnivore
Spur-winged goose,savanna,omnivore
Yellow-billed stork,desert,carnivore
White-bellied sea eagle,tundra,carnivore
"Grouse, greater sage",desert,carnivore
Huron,ocean,carnivore
"Hawk, red-tailed",desert,omnivore
Common shelduck,savanna,herbivore
Ferruginous hawk,tundra,carnivore
Sacred ibis,desert,carnivore
"Tern, royal",tundra,omnivore
"Bear, polar",savanna,omnivore
Frilled lizard,desert,omnivore
"Shelduck, common",desert,carnivore
African fish eagle,desert,carnivore
